AFF_LOVE_POINT	Punkty Miłosne: %d%%
TOOLTIP_NEXT_SKILL_LEVEL_1	Następny Poziom: %d (Maks. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Następny Poziom: %d (Maks. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Średnie Obrażenia: %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Odporność na Obrażenia: %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Więcej niż %d Członków Grupy
TOOLTIP_PARTY_INFO_GRADE_UP2	Poziom Ataku +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Poziom Obrony +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Regeneracja PŻ/PE wszystkich Członków Grupy przez 60 minut.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Regeneracja PŻ/PE wszystkich Członków Grupy przez 30 minut.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Musisz poczekać 3 minuty po śmierci członka grupy.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Możesz przywołać członków grupy, którzy są na tym samym serwerze.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Poziom Ataku +(ilość członków grupy/2) Napastnik %d może być wybrany.
TOOLTIP_PARTY_INFO_SET_TANKER	Poziom Obrony +(ilość członków grupy) 1 Walczący Ostrzem może być wybrany.
TOOLTIP_PARTY_SKILL_LEVEL	Aktualny Poziom: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Atak/Obrona ulepszony]
TOOLTIP_PARTY_TITLE_HEAL	[przywróć]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Jeśli masz więcej niż %d Członków Grupy, dostajesz %d%% Bonus DOŚ .
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus DOŚ]
TOOLTIP_PARTY_TITLE_RECALL	[Przywołaj]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Ustanów Napastnika]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Ustanów Walczącego Ostrzem]
TOOLTIP_PICK_EXP	Punkty: %d / %d
TOOLTIP_PICK_LEVEL	Poziom: %d
TOOLTIP_PICK_UPGRADE1	Daj to Drwalowi,
TOOLTIP_PICK_UPGRADE2	aby dostać
TOOLTIP_PICK_UPGRADE3	ulepszony Kilof.
TOOLTIP_POTION_CURE	Usuń negatywne skutki.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Szybkość Ataku +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	PŻ +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	PŻ +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Szybkość Ruchu +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	PE +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	PE +%d
TOOLTIP_POTION_SEC	Sek.
TOOLTIP_POTION_TIME	Czas trwania:
TOOLTIP_REQUIREMENT_21_LEVEL	Musisz osiągnąć Poziom 21.
TOOLTIP_REQUIREMENT_41_LEVEL	Musisz osiągnąć Poziom 41.
TOOLTIP_REQUIREMENT_LEVEL	Musisz osiągnąć Poziom %d.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Poziom %d wymagany.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d wymagany
TOOLTIP_RESIST_BOW	Odporność na Strzały: %d%%	SA
TOOLTIP_RESIST_DARK	Odporność na mrok +%d%%	SA
TOOLTIP_RESIST_EARTH	Odporność na ziemię +%d%%	SA
TOOLTIP_RESIST_ELEC	Odporność na Błyskawice: %d%%	SA
TOOLTIP_RESIST_FIRE	Odporność na Ogień: %d%%	SA
TOOLTIP_RESIST_ICE	Odporność na lód +%d%%	SA
TOOLTIP_RESIST_MAGIC	Odporność na Magię: %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Pozostało: %d
TOOLTIP_SELLPRICE	%s Yang
TOOLTIP_SHAMAN	Szaman
TOOLTIP_SHIELD	Tarcza
TOOLTIP_SHOES	Buty
TOOLTIP_SKILL	Umiejętności	SNA
TOOLTIP_SKILLBOOK_NAME	Księga Umiejętności
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Wartość Ataku: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Wartość Ataku:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Szybkość Ataku: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Obrona:
TOOLTIP_SKILL_AFFECT_DODGE	Wartość Ataku przeciwnika: -
TOOLTIP_SKILL_AFFECT_HEAL	Regeneracja PŻ:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Szybkość Ruchu: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Szansa na odbicie ataku:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Odporność na Obrażenia:
TOOLTIP_SKILL_COOL_TIME	Czas odnowienia: 
TOOLTIP_SKILL_DAMAGE_BONUS	Obrażenie Umiejętności: %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Odporność na Obrażenia Umiejętności %d%%	SA
TOOLTIP_SKILL_DURATION	Czas trwania: %d Sek.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Opaska Zapomnienia
TOOLTIP_SKILL_LEVEL	Aktualny Poziom: %d
TOOLTIP_SKILL_LEVEL_MASTER	Aktualny Poziom: %d (Mistrz)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Aktualny Poziom: %d (Maks. %d)
TOOLTIP_SOCKET_EMPTY	Pusty
TOOLTIP_SOCKET_REFINABLE_ITEM	[Przedmiot ze slotem]
TOOLTIP_SP_REGEN	Regeneracja PE: +%d%%	SA
TOOLTIP_STR	Siła: +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Ładowanie czasu %d sek.	SA
TOOLTIP_TIME_CHARGER_PER	Ładowanie czasu %d%% 	SA
TOOLTIP_UNIQUE	Unikat
TOOLTIP_WARRIOR	Wojownik
TOOLTIP_WEAPON	Broń
TOOLTIP_WRISTLET	Bransoleta
TOOLTIP_REST_USABLE_COUNT	Pozostało: %d
UI_ACCEPT	Akceptuj
UI_CANCEL	Anuluj
UI_CLOSE	Zamknij
UI_DENY	Odrzuć
UI_ITEM	Przedmiot
UI_LEFT_TIME	Pozostały Czas: %d Sek.
UI_NEXT	Kontynuuj
UI_NEXTPAGE	Dalej
UI_NOCONTENTS	Brak Zawartości
UI_NONAME	Brak Nazwy
UI_OK	OK
UI_POS_UNKNOWN	Nieznane Położenie
UI_PREVPAGE	Wróć
UI_UNKNOWN	Nieznany
UPLOAD_MARK_CHECK_NEED_RECONNECT	Wgrywanie musi zostać ponownie rozpoczęte.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Wgrywanie musi zostać ponownie rozpoczęte.
USE_ITEM_FAILURE_PRIVATE_SHOP	Nie możesz używać przedmiotów, jeśli otworzyłeś prywatny Magazyn.
USE_SKILL_ERROR_UNKNOWN	Nieznany Błąd Umiejętności: %s
GUILD_ADD_FRIEND_ANSWER_TIMEOVER	Zaproszenie do gildii zostało anulowane.
MESSENGER_ADD_FRIEND_ANSWER_TIMEOVER	Zaproszenie do znajomych zostało anulowane.
PARTY_ANSWER_TIMEOVER	Zaproszenie do grupy zostało anulowane.
